logo,title,console,media_type,platform,players
https://tinypic.host/images/2023/12/03/playstation.png,TES V: Skyrim,PlayStation 4,Digital,,Single Player
https://tinypic.host/images/2023/12/03/pc.png,TES IV: Oblivion,PC,Digital,Steam,Single Player
https://tinypic.host/images/2023/12/03/playstation.png,Horizon Zero Dawn,PlayStation 4,Digital,,Single Player
https://tinypic.host/images/2023/12/03/playstation.png,Borderlands,PlayStation 4,Digital,,Cooperative
https://tinypic.host/images/2023/12/03/playstation.png,Borderlands II,PlayStation 4,Digital,,Cooperative
https://tinypic.host/images/2023/12/03/playstation.png,Borderlands III,PlayStation 4,Disc,,Cooperative
https://tinypic.host/images/2023/12/03/playstation.png,Spiderman,PlayStation 4,Disc,,Single Player
https://tinypic.host/images/2023/12/03/pc.png,Ghost Recon: Wildlands,PC,Digital,Ubisoft Connect,Cooperative
https://tinypic.host/images/2023/12/03/pc.png,Rainbow Six: Seige,PC,Disc,Ubisoft Connect,Cooperative
https://tinypic.host/images/2023/12/03/playstation.png,God of War,PlayStation 4,Disc,,Single Player
https://tinypic.host/images/2023/12/03/pc.png,The Sims 4,PC,Digital,Origin,Single Player
https://tinypic.host/images/2023/12/03/pc.png,The Sims 3,PC,Digital,Origin,Single Player
https://tinypic.host/images/2023/12/03/pc.png,Grand Theft Auto 5,PC,Digital,Epic,Cooperative
https://tinypic.host/images/2023/12/03/pc.png,MetalGear Solid,PC,Digital,GOG,Single Player
https://tinypic.host/images/2023/12/03/pc.png,MetalGear Solid 2,PC,Digital,GOG,Single Player
https://tinypic.host/images/2023/12/03/playstation.png,Call of Duty WWII,PlayStation 4,Disc,,Cooperative
https://tinypic.host/images/2023/12/03/playstation.png,Fallout 4,PlayStation 4,Digital,,Single Player
https://tinypic.host/images/2023/12/03/pc.png,GolfIt,PC,Digital,Steam,Cooperative
https://tinypic.host/images/2023/12/03/pc.png,Among Us,PC,Digital,Steam,Cooperative
https://tinypic.host/images/2023/12/03/pc.png,Insurgency: Sandstorm,PC,Digital,Steam,Cooperative
https://tinypic.host/images/2023/12/03/playstation.png,Horizon Forbidden West,PlayStation 5,Disc,,Single Player
https://tinypic.host/images/2023/12/03/playstation.png,Spiderman 2,PlayStation 5,Disc,PlayStation Network,Single Player
https://tinypic.host/images/2023/12/03/atari.png,Pac-Man,Atari,Cartridge,N/A,Single Player
https://tinypic.host/images/2023/12/03/atari.png,Asteroids,Atari 2600,Cartridge,N/A,Single Player
https://tinypic.host/images/2023/12/03/nintendo.png,"Let's Go, Eevee!",Switch,Cartridge,Nintendo Switch Online,Single Player
https://tinypic.host/images/2023/12/03/nintendo.png,The Legend of Zelda: Breath of the Wild,Switch,Cartridge,Nintendo Switch Online,Single Player
